标题,室数,厅数,卫数,面积,朝向,楼层数,建造时间,小区,行政区,街道,门牌号,单价,总价
正南 3室2厅 精装修,3,2,2,97.28㎡,南,低层(共45层),2019年建造,保利新武昌,洪山,白沙洲,张家湾路8号,14275元/㎡,139万
急卖科普公园大华铂金郦府 纯商品房南北通透 自住装修随时看房,2,2,1,88.79㎡,南北,低层(共34层),2018年建造,大华铂金郦府,青山,余家头,旅大街21号,15362元/㎡,136万
汉阳琴台大道江景住宅 3室2厅2卫 102m 约199万,3,2,2,102㎡,南,,,新世界汉江·云赫,硚口,古田,知音大道588号,16127元/㎡,164万
保利中央公馆 电梯三房 97平189万 诚心可谈 满五,3,2,1,97.17㎡,南,低层(共34层),2015年建造,保利中央公馆(G1-G16栋),洪山,新南湖,丁字桥南路558号,16078元/㎡,156万
满二唯一 南北通透 3室2厅 精装修,3,2,1,84㎡,南北,低层(共34层),2016年建造,保利上城东区,洪山,白沙洲,烽胜路20号,12990元/㎡,109万
单价1万3起步主城区准现房,3,2,2,113㎡,南北,,,龙湖揽境,硚口,古田,长丰大道与古田二路交汇处,12436元/㎡,141万
正南 3室2厅 精装修,3,2,1,98.43㎡,南,低层(共40层),2016年建造,保利上城东区,洪山,白沙洲,烽胜路20号,13605元/㎡,134万
捡漏必看 恒大 精装朝南三房 诚心出售 随时看房,3,2,1,102.02㎡,南,高层(共46层),2017年建造,恒大御府,青山,建设二路,冶金大道16号,14017元/㎡,143万
超大阳台 全房明亮 开发商直降 性价比高,3,2,2,120㎡,南北,,,龙湖揽境,硚口,古田,长丰大道与古田二路交汇处,12399元/㎡,149万
地铁口精装修三房，凤凰楼层，视野开阔，二次装修，满二，诚心卖,3,2,2,108.36㎡,南北,高层(共45层),2018年建造,东原启城(二期),洪山,白沙洲,烽胜路,13884元/㎡,150万
保利上城 正地铁口 精装三房 产证满二 南北通透,3,2,1,84㎡,南北,低层(共34层),2018年建造,保利上城东区,洪山,白沙洲,烽胜路20号,12793元/㎡,107万
南北通透 3室2厅 企业力荐好房诚意出售,3,2,1,86.95㎡,南北,低层(共34层),2022年建造,大华锦绣时代(一期),青山,建设二路,建设三路36号,15686元/㎡,136万
东湖边 央企核心C位 天花板级别大盘   新房侨城欢乐天际,3,2,2,122㎡,南北,,,华侨城欢乐天际(新房),青山,余家头,团结大道地铁4号线工业四路站B出口（华侨城杉·艺术空间）,15245元/㎡,186万
下楼就是六号线，对应黄狮海学校。曾经的地王，房东血亏大跳水,3,2,1,104.23㎡,南北,中层(共46层),2020年建造,融创观澜府,东西湖,吴家山,云海路1号,12689元/㎡,132万
正南 2室2厅 企业力荐好房诚意出售,2,2,1,82.2㎡,南,高层(共18层),2004年建造,保利花园(东区),洪山,关山,光谷大道219号,15587元/㎡,128万
神盘大嫂送大哥马尔代夫的豪装楼下就是摩尔城看湖,3,2,2,125㎡,南,,,中国铁建花语汀澜,汉阳,王家湾,玉龙路与墨水湖北路交汇处,15276元/㎡,191万
必看好房！！满二！！地铁口！！精装3房！！,3,2,1,105.07㎡,南,低层(共34层),2018年建造,清能清江锦城(三期),洪山,白沙洲,白沙四路62号,12902元/㎡,136万
光谷三路 生物创新园 省妇幼旁 中建星光城一期 地铁700米,3,2,1,97.03㎡,南北,高层(共30层),2022年建造,中建星光城(一期),洪山,光谷东,光谷三路59号,15761元/㎡,153万
三环内王炸楼盘单价14000中字头央企开发,3,2,1,99㎡,南北,,,中国铁建·花语天著,江岸,百步亭,新区大道与游湖二路交汇处,12274元/㎡,122万
正南 3室2厅 精装修,3,2,2,111.71㎡,南,低层(共48层),2021年建造,东原启城(三四期),洪山,白沙洲,烽胜路,12579元/㎡,141万
房源采光好，南北通透，业主诚意出,3,2,1,92.36㎡,南,低层(共33层),2018年建造,绿地悦澜湾,汉阳,四新,四新北路601号,13425元/㎡,124万
下楼地铁口 绿道另外可以上于武昌区第一梯队,3,2,2,111㎡,南北,,,东湖ONE,洪山,欢乐谷,团结大道1068号（园林路E出口/金地广场对面）,17798元/㎡,198万
凯德旁 金地悦江时代 次新小区 中高楼层 精装三房 老证税少,3,2,2,111.96㎡,南北,高层(共46层),2018年建造,金地悦江时代芸湾区,硚口,古田,田文街10号,12256元/㎡,137万
保利中央公馆(G1G16栋)93.79平183万3室2厅1卫,3,2,1,93.79㎡,南北,低层(共34层),2012年建造,保利中央公馆(G1-G16栋),洪山,新南湖,丁字桥南路558号,16129元/㎡,151万
华发以国企实力，兑现有保障,3,2,2,101㎡,南,,,华发都荟天地,硚口,古田,古田二路轻轨站旁100米,15714元/㎡,159万
精装修 电梯房 满二唯一住房 102平 南北通透 看房方便,2,2,1,102.22㎡,南北,高层(共18层),2019年建造,丽水康城,硚口,古田,沿河大道438号,12130元/㎡,124万
南北通透 3室2厅 精装修,3,2,2,117.55㎡,南北,高层(共37层),2019年建造,保利新武昌,洪山,白沙洲,张家湾路8号,13783元/㎡,162万
央企军工品质 好楼层 业主诚信出售 有钥匙随时看房    ，,3,2,2,117.55㎡,南北,高层(共44层),2020年建造,保利新武昌,洪山,白沙洲,张家湾路8号,13783元/㎡,162万
徐东内环刚需小两室 央企保利开发 年底交房,2,2,1,75㎡,南北,,,保利城七期云廷,洪山,铁机路,北洋桥西路与铁机东路交汇处,16532元/㎡,124万
后湖核心！ 新装一天未住！行知加六中 小高层低公摊 双地铁口,3,2,2,102.64㎡,南,低层(共18层),2010年建造,天伦二七嘉园我的寓所,江岸,后湖,兴业南路9号,15141元/㎡,155万
电梯房 南北通透 永利新城东苑 精装修 楼层好 视野无遮挡,3,2,1,92.46㎡,南北,中层(共32层),2017年建造,永利新城东苑,硚口,古田,长安路18号,11176元/㎡,103万
三室两厅两卫，全屋精装修，万科大牌,3,2,2,102㎡,南北,,,万科华生公园大道(新房),硚口,古田,园博大道(蓝光林肯公园西侧约100米),13696元/㎡,140万
急售武广万松园老证东南朝向 中间楼层 户型方正 自住装修,3,2,1,115.71㎡,东南,高层(共28层),2003年建造,同成广场,江汉,新华路,建设大道538号,13217元/㎡,153万
此房是精装三房朝南户型 小区配套齐全 交通便利,3,2,1,94.62㎡,南,低层(共34层),2016年建造,绿地派克公馆,青山,和平大道,和平大道1650号,10004元/㎡,94万
招商未来中心 地铁口 国企开发 均价1.5 专业配盘 包接送,3,2,2,100㎡,南,,,招商·武汉城建未来中心,沌口开发区,体育中心,沌阳大道与体育路交汇处（协和医院西院对面）,14466元/㎡,145万
地铁口 满二 毛坯三居室 可随时看房,3,2,1,89.15㎡,南,中层(共34层),2014年建造,佳兆业金域天下(二期),洪山,白沙洲,烽胜路36号,14094元/㎡,126万
老证诚售  近洪山广场 地铁12号线旁 目送式教育 配套齐全,3,2,1,91.51㎡,南北,高层(共26层),2015年建造,万科金色城市锦绣苑,洪山,白沙洲,白沙五路7号,12827元/㎡,117万
总价130多万买汉阳二环央企开发正地铁口精装现房120边户,3,2,2,123㎡,南,,,保利星河九洲,汉阳,升官渡,永安堂地铁站旁100米,11761元/㎡,145万
保利城精准小三房 186万 满五唯一 高视野 看房有钥匙,3,2,1,94.77㎡,南,中层(共51层),2016年建造,保利城一期,洪山,铁机路,团结大道1049号,16224元/㎡,154万
纽宾凯国际社区，四新成熟社区的标杆 毛坯小三房 老证价格优惠,3,2,1,91.37㎡,南,低层(共33层),2017年建造,纽宾凯国际社区锦城,汉阳,四新,芳草路,12847元/㎡,117万
汉阳中心片区 精装入住 交房又保障,3,2,2,110㎡,南,,,王家湾中央生活区湾玺,汉阳,升官渡,汉阳大道与玉龙路交汇处,15705元/㎡,173万
天祥尚府 精装三房 中间位置 全屋中央空调 保养好可拎包入住,3,2,1,87.87㎡,南,高层(共32层),2016年建造,天祥尚府,洪山,光谷软件园,华师园路3号,15522元/㎡,136万
正南 2室2厅 精装修,2,2,1,80.18㎡,南,低层(共46层),2015年建造,中建开元公馆,青山,建设二路,建设二路11号,15980元/㎡,128万
二环老证龙湖天街旁双地铁精装修单价总价都低红桥城,3,2,1,91.35㎡,南,高层(共37层),2014年建造,福星惠誉红桥城,江岸,后湖,汉黄路6号,12487元/㎡,114万
七里庙地铁口南北通通 户型明厨明卫准现房,3,2,2,106㎡,南,,,尚城国际,汉阳,五里墩,七里庙地铁站b出口，汉阳大道580号,13647元/㎡,145万
（急出）地铁口，保利上城东区，精装三房，中间楼层,3,2,1,95.19㎡,南北,低层(共34层),2018年建造,保利上城东区,洪山,白沙洲,烽胜路20号,13547元/㎡,129万
（精准）保利新武昌三居室 带精装 预约随时看 欢迎电话咨询！,3,2,1,94.79㎡,南北,高层(共44层),2020年建造,保利新武昌,洪山,白沙洲,张家湾路8号,15086元/㎡,143万
四新地铁口国企毛坯准现房 新房团购价,3,2,2,105㎡,南北,,,海格公馆(新房),汉阳,四新,四新中路与四新南路交汇处,14170元/㎡,149万
正南 4室2厅 企业力荐好房诚意出售,4,2,2,115.69㎡,南,高层(共34层),2018年建造,清能清江锦城(三期),洪山,白沙洲,白沙四路62号,13576元/㎡,157万
保利精装三房，不临铁路高架，楼层好，无抵押交易快,3,2,1,95.66㎡,南,高层(共34层),2013年建造,保利公园九里(1-4期),洪山,新南湖,南湖小路9号,15969元/㎡,152万
旭辉大盘 老汉阳政务中心旁 墨水湖一线湖景,3,2,2,115㎡,南北,,,钰龙旭辉半岛·和岸,汉阳,七里庙,麒麟路与百灵路交汇处,15742元/㎡,181万
六合新界小高层 精装三房 户型方正 南北通透 双阳台 好楼层,3,2,2,112.48㎡,南北,中层(共12层),2014年建造,六合新界,江岸,三阳路,胜利街315号,27926元/㎡,314万
上井小，崇仁路地铁口，精装修，拎包入住，诚心出售,3,2,1,103.31㎡,南,中层(共18层),2005年建造,集贤书香苑,硚口,武胜路,崇仁小路3号,16482元/㎡,170万
新房首发 多面积 多价格 多楼层 多户型随便选 免费看房,3,2,2,108.35㎡,南北,,,方岛金茂智慧科学城(新房),汉阳,升官渡,芳草路与四新大道交叉口,15716元/㎡,170万
南北通透 3室2厅 企业力荐好房诚意出售,3,2,2,122.75㎡,南北,低层(共46层),2018年建造,金科城,洪山,欢乐谷,仁和路98号,12795元/㎡,157万
坐标城，南北精装二室，中间楼层 ，看房有钥匙,2,2,1,92.62㎡,南北,中层(共18层),2009年建造,光谷坐标城,洪山,光谷软件园,关山大道519号,18296元/㎡,169万
汉阳三环内双地铁单价14500精装交付准现房,3,2,2,98㎡,南,,,禹洲新希望雍禧兰台(新房),汉阳,四新,四新南路与新华园二路交汇处,12399元/㎡,122万
南北通透 3室2厅 精装修,3,2,1,109.3㎡,南北,中层(共56层),2020年建造,招商一江璟城(北区),青山,红钢城,建设六路5号,15882元/㎡,174万
正南 3室2厅 精装修,3,2,2,123.74㎡,南,低层(共32层),2013年建造,观庭金色世家(B区),洪山,白沙洲,白沙五路2号,8217元/㎡,102万
江汉区福星华府东区福星大兴学校正南性价比高 2室2厅 精装修,2,2,1,87㎡,南,低层(共45层),2016年建造,福星华府(东区),江汉,杨汊湖,新湾路23号,13663元/㎡,118万
汉口二环一号线轻轨口千禧城旁国企现房单价1.3送车位20上车,2,2,1,86㎡,南北,,,武汉城建汉樾台,硚口,古田,古田四路与长安路交叉口西侧（湖北警官学院北区旁）,13937元/㎡,120万
