标题,室数,厅数,卫数,面积,朝向,建造时间,小区,行政区,街道,门牌号,单价,总价,楼层所属区域
新上 武汉天地优质笋房 多层 通透 不临街不临桥  随时看,3,2,2,133.94,南北,2010,武汉天地御江苑,江岸,永清街,永安路6号,49372,661,高层
正南 2室2厅 精装修,2,2,1,85.3,南,2016,福星华府(东区),江汉,杨汊湖,新湾路23号,14536,124,高层
急售，急售，降价20万毛坯朝南三房，楼层好，采光好，看房方便,3,2,1,98.92,南北,2022,中建星光城(二期),洪山,九峰山森林公园,光谷三路59号,14456,143,中层
地铁口，三房二卫，诚心急售，证满无贷，有钥匙,3,2,2,104.65,南,2016,平安光谷春天,江夏,金融港,高新六路15号,17220,180,高层
金银湖湿地公园旁 毛坯一线湖景 满五   6号线地铁900米,3,2,2,117.37,南北,2019,金湖听语,东西湖,金银湖,南一街2号,12818,150,高层
97平 电梯房 满二 精装修 美联(四期) 居家自住保养好,3,2,1,97.6,南,2015,美联奥林匹克花园(四期),东西湖,常青花园,奥园西路3号,13433,131,中层
满二  住房 毛坯房，房东诚心卖，看中可以谈,2,2,1,77.56,南北,2018,东建金海湾,东西湖,吴家山,金北一路59号,7461,58,高层
房东诚心出售，中间楼层，前后阳台看花园，随时看房,3,2,2,118.48,南,2022,百步亭和谐里,江岸,后湖,和谐大道555号,14791,175,中层
98平 满二  住房 南北通透 电梯房 看房方便 有钥匙,3,2,1,98.61,南北,2016,汉北大全景,黄陂,武湖,汉口北大道,6639,65,中层
房源采光好，南北通透，业主诚意出,3,2,1,92.36,南,2018,绿地悦澜湾,汉阳,四新,四新北路601号,13425,124,低层
新上好房 房东急售价格美丽 随时可看,2,2,1,90.14,南,2016,南国明珠(四期),汉阳,王家湾,龙阳大道95号,13664,123,中层
万科翡翠滨江 二桥本区 有钥匙，产权清晰,3,2,2,118.31,南北,2020,万科新世纪翡翠滨江(二期),汉阳,王家湾,琴台大道,15930,188,高层
满二   正南 2室2厅 精装修,2,2,1,87.06,南,2015,光谷自由城,洪山,光谷软件园,水蓝路11号,13008,113,高层
正南 3室2厅 精装修,3,2,2,107.24,南,2017,中国铁建梧桐苑,江夏,金融港,民族大道324号,17343,186,高层
新城璟棠 南北通透 3房 业主一天没住过全新房 看房方便,3,2,2,108.6,南北,2020,新城璟棠,汉阳,四新,四新中路,14081,153,低层
正南 3室2厅 企业力荐好房诚意出售,3,2,2,137.83,南,2020,保利江锦,武昌,徐东,临江大道,24349,336,中层
光谷东 花山 万科紫悦湾 精装 满五  三房二厅,3,2,1,88.77,南北,2017,万科紫悦湾,洪山,光谷东,严西湖路8号,12292,109,中层
电梯房 满二 紫轩美佳 2室2厅 精装修 91平 看房方便,2,2,1,91.21,南北,2012,紫轩美佳,江岸,后湖,正义路24号,14047,128,低层
保利香颂精致三房，二桥芳草一步到位，老证少税可看房，随时可看,3,2,2,110.43,南北,2019,保利香颂,汉阳,升官渡,四新大道,14597,161,高层
江城明珠 2室2厅 电梯房 87平 房东急置换 诚意买房,2,2,1,87.83,南北,2014,江城明珠,汉阳,四新,四新南路,9882,87,高层
保利城精准小三房 186万 满五唯一 高视野 看房有钥匙,3,2,1,94.77,南,2016,保利城一期,洪山,铁机路,团结大道1049号,16224,154,中层
满二 人信汇天誉 3室2厅 86平 电梯房 房东急置换 诚意,3,2,1,86.7,南北,2018,人信汇天誉,汉阳,王家湾,龙阳大道62号,15064,131,中层
正南 3室2厅 精装修,3,2,2,80.16,南,2015,香奈天鹅湖,黄陂,盘龙城,巨龙大道46号,6394,51,高层
